时间_Start,时间_End,TIME,PM25,O3,NO2,PM10,SO2,CO,AQI,Major_pollutant,quality
2015/7/3 20:00,2015/7/3 21:00,20,147,47,12,87,4,11,147,PM2.5,轻度污染
2015/7/3 21:00,2015/7/3 22:00,21,149,48,12,89,5,10,149,PM2.5,轻度污染
2015/7/3 22:00,2015/7/3 23:00,22,147,46,11,87,4,10,147,PM2.5,轻度污染
2015/7/3 23:00,2015/7/4 0:00,23,147,42,12,86,5,10,147,PM2.5,轻度污染
2015/7/4 0:00,2015/7/4 1:00,0,144,40,10,86,5,10,144,PM2.5,轻度污染
2015/7/4 1:00,2015/7/4 2:00,1,148,37,13,87,5,10,148,PM2.5,轻度污染
2015/7/4 2:00,2015/7/4 3:00,2,149,35,14,88,5,9,149,PM2.5,轻度污染
2015/7/4 3:00,2015/7/4 4:00,3,147,39,10,88,4,9,147,PM2.5,轻度污染
2015/7/4 4:00,2015/7/4 5:00,4,142,40,8,84,4,9,142,PM2.5,轻度污染
2015/7/4 5:00,2015/7/4 6:00,5,137,38,10,82,4,9,137,PM2.5,轻度污染
2015/7/4 6:00,2015/7/4 7:00,6,128,35,14,78,4,9,128,PM2.5,轻度污染
2015/7/4 7:00,2015/7/4 8:00,7,122,32,18,76,4,10,122,PM2.5,轻度污染
2015/7/4 8:00,2015/7/4 9:00,8,102,30,21,68,6,9,102,PM2.5,轻度污染
2015/7/4 9:00,2015/7/4 10:00,9,85,30,17,60,4,7,85,PM2.5,良
2015/7/4 10:00,2015/7/4 11:00,10,59,28,17,46,3,7,59,PM2.5,良
2015/7/4 11:00,2015/7/4 12:00,11,38,27,16,29,4,6,38,,优
2015/7/4 12:00,2015/7/4 13:00,12,25,27,18,22,4,6,27,,优
2015/7/4 13:00,2015/7/4 14:00,13,23,28,17,25,4,5,28,,优
2015/7/4 14:00,2015/7/4 15:00,14,23,30,16,24,4,5,30,,优
2015/7/4 15:00,2015/7/4 16:00,15,25,32,16,28,4,5,32,,优
2015/7/4 16:00,2015/7/4 17:00,16,22,31,17,31,4,5,31,,优
2015/7/4 17:00,2015/7/4 18:00,17,23,30,17,34,4,6,34,,优
2015/7/4 18:00,2015/7/4 19:00,18,26,28,20,39,4,6,39,,优
2015/7/4 19:00,2015/7/4 20:00,19,30,24,23,41,4,6,41,,优
2015/7/4 20:00,2015/7/4 21:00,20,36,23,22,47,4,7,47,,优
2015/7/4 21:00,2015/7/4 22:00,21,43,21,23,50,4,7,50,,优
2015/7/4 22:00,2015/7/4 23:00,22,52,21,22,49,4,7,52,PM2.5,良
2015/7/4 23:00,2015/7/5 0:00,23,52,24,16,46,4,6,52,PM2.5,良
2015/7/5 0:00,2015/7/5 1:00,0,52,25,13,45,4,6,52,PM2.5,良
2015/7/5 1:00,2015/7/5 2:00,1,53,26,14,45,4,6,53,PM2.5,良
2015/7/5 2:00,2015/7/5 3:00,2,48,26,11,39,4,6,48,,优
2015/7/5 3:00,2015/7/5 4:00,3,43,26,11,33,3,6,43,,优
2015/7/5 4:00,2015/7/5 5:00,4,40,26,10,31,4,6,40,,优
2015/7/5 5:00,2015/7/5 6:00,5,39,26,12,32,4,6,39,,优
2015/7/5 6:00,2015/7/5 7:00,6,40,21,21,35,5,6,40,,优
2015/7/5 7:00,2015/7/5 8:00,7,42,23,23,35,6,6,42,,优
2015/7/5 8:00,2015/7/5 9:00,8,32,32,16,27,5,6,32,,优
2015/7/5 9:00,2015/7/5 10:00,9,23,36,12,27,4,6,36,,优
2015/7/5 10:00,2015/7/5 11:00,10,23,36,12,27,4,6,36,,优
2015/7/5 11:00,2015/7/5 12:00,11,25,36,12,27,4,6,36,,优
2015/7/5 12:00,2015/7/5 13:00,12,22,39,10,20,4,6,39,,优
2015/7/5 13:00,2015/7/5 14:00,13,18,40,9,19,4,5,40,,优
2015/7/5 14:00,2015/7/5 15:00,14,20,41,9,22,4,5,41,,优
2015/7/5 15:00,2015/7/5 16:00,15,20,40,10,24,4,5,40,,优
2015/7/5 16:00,2015/7/5 17:00,16,22,38,12,25,4,6,38,,优
2015/7/5 17:00,2015/7/5 18:00,17,25,34,15,32,4,6,34,,优
2015/7/5 18:00,2015/7/5 19:00,18,29,28,20,41,4,7,41,,优
2015/7/5 19:00,2015/7/5 20:00,19,39,25,22,40,3,7,40,,优
2015/7/5 20:00,2015/7/5 21:00,20,40,26,19,33,3,7,40,,优
